"id","poj_unicode","poj_input","kip_unicode","kip_input","hanlo_taibun_poj","hanlo_taibun_kip","hoabun","english","poochhiong_chuliau","muithe_miachheng","hongsang_jitki","liankiat"
"2246","at-tó","at-to2","at-tó","at-to2","遏倒","遏倒","打倒","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2247","lo̍h-thô͘","loh8-thoo5","lo̍h-thôo","loh8-thoo5","落塗","落塗","出生","","相關詞：lo̍h-thó͘ (落土/送葬)","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2248","Ké-khek sī chhiùⁿ bô tiāu","Ke2-khek si7 chhiunn3 bo5 tiau7","Ké-khik sī tshiùnn bô tiāu","Ke2-khik si7 tshiunn3 bo5 tiau7","假曲是唱無調","假曲是唱無調","","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2249","Hiang-káng/Hiong-káng bîn-chiòng hoat-khí pau-ûi li̍p-hoat-hōe, kéng-chhat kap bîn-chiòng hoat-seng chiok giâm-tiōng ê chhiong-tu̍t, chin-chē lâng siū-siong.","Hiang-kang2/Hiong-kang2 bin5-chiong3 hoat-khi2 pau-ui5 lip8-hoat-hoe7, keng2-chhat kap bin5-chiong3 hoat-seng chiok giam5-tiong7 e5 chhiong-tut8, chin-che7 lang5 siu7-siong.","Hiang-káng/Hiong-káng bîn-tsiòng huat-khí pau-uî li̍p-huat-huē, kíng-tshat kap bîn-tsiòng huat-sing tsiok giâm-tiōng ê tshiong-tu̍t, tsin-tsē lâng siū-siong.","Hiang-kang2/Hiong-kang2 bin5-tsiong3 huat-khi2 pau-ui5 lip8-huat-hue7, king2-tshat kap bin5-tsiong3 huat-sing tsiok giam5-tiong7 e5 tshiong-tut8, tsin-tse7 lang5 siu7-siong.","香港民眾發起包圍立法會，警察佮民眾發生足嚴重ê衝突，真濟人受傷","香港民眾發起包圍立法會，警察佮民眾發生足嚴重ê衝突，真濟人受傷","香港民眾號召包圍立法會，警民爆發激烈交鋒，多人受傷","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2250","Goán/Gún nā chò siáⁿ-mih Tiong-kok chèng-hú bô kah-ì ê tāi-chì, bô-tiāⁿ tō hông sàng khì Tiong-kok.","Goan2/Gun2 na7 cho3 siann2-mih Tiong-kok cheng3-hu2 bo5 kah-i3 e5 tai7-chi3, bo5-tiann7 to7 hong5 sang3 khi3 Tiong-kok.","Guán/Gún nā tsò siánn-mih Tiong-kok tsìng-hú bô kah-ì ê tāi-tsì, bô-tiānn tō hông sàng khì Tiong-kok.","Guan2/Gun2 na7 tso3 siann2-mih Tiong-kok tsing3-hu2 bo5 kah-i3 e5 tai7-tsi3, bo5-tiann7 to7 hong5 sang3 khi3 Tiong-kok.","阮若做啥物中國政府無佮意ê代誌，無定就hông送去中國","阮若做啥物中國政府無佮意ê代誌，無定就hông送去中國","我們如果做了中國政府不喜歡的事，可能被送去中國。","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2251","Ji̍t-pún NHK tiān-sī-tâi tī Pak-kiaⁿ ê kok-chè sin-bûn ti̍t-pò, sìn-hō hiông-hiông bô--khì, êng-bō͘ kui-ê lóng o͘--ê.","Jit8-pun2 NHK tian7-si7-tai5 ti7 Pak-kiann e5 kok-che3 sin-bun5 tit8-po3, sin3-ho7 hiong5-hiong5 bo5--khi3, eng5-boo7 kui-e5 long2 oo--e5.","Ji̍t-pún NHK tiān-sī-tâi tī Pak-kiann ê kok-tsè sin-bûn ti̍t-pò, sìn-hō hiông-hiông bô--khì, îng-bōo kui-ê lóng oo--ê.","Jit8-pun2 NHK tian7-si7-tai5 ti7 Pak-kiann e5 kok-tse3 sin-bun5 tit8-po3, sin3-ho7 hiong5-hiong5 bo5--khi3, ing5-boo7 kui-e5 long2 oo--e5.","日本NHK電視台佇北京ê國際新聞直播，信號雄雄無--去，螢幕規个攏烏--ê","日本NHK電視台佇北京ê國際新聞直播，信號雄雄無--去，螢幕規个攏烏--ê","日本NHK電視台在北京的國際新聞直播，突然被屏蔽，螢幕變得漆黑一片。","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2252","Che sī kóng chi̍t-kóa o͘-ló͘-bo̍k-chè--ê teh kā ta̍k-ke heh-kiaⁿ","Che si7 kong2 chit8-koa2 oo-loo2-bok8-che3--e5 teh ka7 tak8-ke heh-kiann","Tse sī kóng tsi̍t-kuá oo-lóo-bo̍k-tsè--ê teh kā ta̍k-ke heh-kiann","Tse si7 kong2 tsit8-kua2 oo-loo2-bok8-tse3--e5 teh ka7 tak8-ke heh-kiann","這是講一寡烏魯本齊ê咧kā逐家嚇驚","這是講一寡烏魯本齊ê咧kā逐家嚇驚","這是妖言惑眾製造恐慌","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2253","Tōa kui-bô͘ ê chhiong-tu̍t hō͘ goân-pún ê Tô-hoān Tiâu-lē chhó-án sím-gī ko͘-put-chiang/ko͘-put-chiong lîm-sî koat-tēng iân-kî.","Toa7 kui-boo5 e5 chhiong-tut8 hoo7 goan5-pun2 e5 To5-hoan7 Tiau5-le7 chho2-an2 sim2-gi7 koo-put-chiang/koo-put-chiong lim5-si5 koat-teng7 ian5-ki5.","Tuā kui-bôo ê tshiong-tu̍t hōo guân-pún ê Tô-huān Tiâu-lē tshó-án sím-gī koo-put-tsiang/koo-put-tsiong lîm-sî kuat-tīng iân-kî.","Tua7 kui-boo5 e5 tshiong-tut8 hoo7 guan5-pun2 e5 To5-huan7 Tiau5-le7 tsho2-an2 sim2-gi7 koo-put-tsiang/koo-put-tsiong lim5-si5 kuat-ting7 ian5-ki5.","大規模ê衝突予原本ê逃犯條例草案審議姑不將決定延期","大規模ê衝突予原本ê逃犯條例草案審議姑不將決定延期","大規模衝突迫使原定的逃犯條例草案審議緊急延期","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2254","tô-hoān","to5-hoan7","tô-huān","to5-huan7","逃犯","逃犯","逃犯","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2255","cháu-hoān","chau2-hoan7","tsáu-huān","tsau2-huan7","走犯","走犯","逃犯","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2256","tiâu-lē","tiau5-le7","tiâu-lē","tiau5-le7","條例","條例","條例","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2257","chhiong-tu̍t","chhiong-tut8","tshiong-tu̍t","tshiong-tut8","衝突","衝突","衝突","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2258","tōng-tu̍t","tong7-tut8","tōng-tu̍t","tong7-tut8","撞突","撞突","唐突","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2259","ài-jîn-á","ai3-jin5-a2","ài-jîn-á","ai3-jin5-a2","愛人仔","愛人仔","情侶，戀人","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2260","kaⁿ-ga̍k","kann-gak8","kann-ga̍k","kann-gak8","監獄","監獄","監獄","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2261","chē-kaⁿ","che7-kann","tsē-kann","tse7-kann","坐監","坐監","坐牢","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2262","tìm-thâu","tim3-thau5","tìm-thâu","tim3-thau5","頓頭","頓頭","點頭","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2263","ui-hia̍p","ui-hiap8","ui-hia̍p","ui-hiap8","威脅","威脅","威脅","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2264","thong-chi̍p","thong-chip8","thong-tsi̍p","thong-tsip8","通緝","通緝","通緝","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2265","Liân lí lo̍h-thô͘, thâu chi̍t-ê phō--lí--ê mā sī thâu-ke neh.","Lian5 li2 loh8-thoo5, thau5 chit8-e5 pho7--li2--e5 ma7 si7 thau5-ke neh.","Liân lí lo̍h-thôo, thâu tsi̍t-ê phō--lí--ê mā sī thâu-ke neh.","Lian5 li2 loh8-thoo5, thau5 tsit8-e5 pho7--li2--e5 ma7 si7 thau5-ke neh.","連你落塗，頭一个抱--你--ê嘛是頭家呢。","連你落塗，頭一个抱--你--ê嘛是頭家呢。","","","","【民視台灣學堂】台語講世事","2019.07.04","https://youtu.be/oLHPelIzPYE"
"2266","phang-chhèng-chhèng","phang-chheng3-chheng3","phang-tshìng-tshìng","phang-tshing3-tshing3","芳chhèng-chhèng","芳tshìng-tshìng","濃濃香氣","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2267","lo̍h-toaⁿ","loh8-toann","lo̍h-tuann","loh8-tuann","落單","落單","下單","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2268","kín-mé sàng kàu-ūi","kin2-me2 sang3 kau3-ui7","kín-mé sàng kàu-uī","kin2-me2 sang3 kau3-ui7","緊猛送到位","緊猛送到位","迅速送達","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2269","tiām-tiām chia̍h saⁿ óaⁿ-kong chhèng--khí lâi","tiam7-tiam7 chiah8 sann oann2-kong chheng3--khi2 lai5","tiām-tiām tsia̍h sann uánn-kong tshìng--khí lâi","tiam7-tiam7 tsiah8 sann uann2-kong tshing3--khi2 lai5","恬恬食三碗公chhèng起來","恬恬食三碗公tshìng起來","異軍突起","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2270","o͘-ló kah ē tak-chi̍h","oo-lo2 kah e7 tak-chih8","oo-ló kah ē tak-tsi̍h","oo-lo2 kah e7 tak-tsih8","呵咾甲會觸舌","呵咾甲會觸舌","深獲喜愛","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2271","hā-soat","ha7-soat","hā-suat","ha7-suat","夏雪","夏雪","夏雪（號稱芒果界的LV）","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2272","sàng-kàu-chhù","sang3-kau3-chhu3","sàng-kàu-tshù","sang3-kau3-tshu3","送到厝","送到厝","宅配","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2273","ta̍k-ê tōa chhī-tiûⁿ","tak8-e5 toa7 chhi7-tiunn5","ta̍k-ê tuā tshī-tiûnn","tak8-e5 tua7 tshi7-tiunn5","逐个大市場","逐个大市場","各大市場","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2274","bô chhàng-pō͘","bo5 chhang3-poo7","bô tshàng-pōo","bo5 tshang3-poo7","無藏步","無藏步","不私藏/不藏私","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2275","Chhài-thâng chia̍h chhài chhài-kha sí","Chhai3-thang5 chiah8 chhai3 chhai3-kha si2","Tshài-thâng tsia̍h tshài tshài-kha sí","Tshai3-thang5 tsiah8 tshai3 tshai3-kha si2","菜蟲食菜菜跤死","菜蟲食菜菜跤死","","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2276","Soāiⁿ-á thâi hó-sè, ka peh--khui, súi kah ná hoe--leh, iù-bah kau-chiap, n̂g-gìm-gìm, phang-chhèng-chhèng","Soainn7-a2 thai5 ho2-se3, ka peh--khui, sui2 kah na2 hoe--leh, iu3-bah kau-chiap, ng5-gim3-gim3, phang-chheng3-chheng3","Suāinn-á thâi hó-sè, ka peh--khui, suí kah ná hue--leh, iù-bah kau-tsiap, n̂g-gìm-gìm, phang-tshìng-tshìng","Suainn7-a2 thai5 ho2-se3, ka peh--khui, sui2 kah na2 hue--leh, iu3-bah kau-tsiap, ng5-gim3-gim3, phang-tshing3-tshing3","檨仔刣好勢，ka擘開，媠甲ná花咧，幼肉厚汁，黃gìm-gìm、芳chhèng-chhèng","檨仔刣好勢，ka擘開，媠甲ná花咧，幼肉厚汁，黃gìm-gìm、芳tshìng-tshìng","切好的芒果，一打開，像花朵一樣綻放，黃澄澄的果肉，鮮嫩欲滴，飄出濃濃香氣","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2277","Tâi-oân lo̍h toaⁿ, ti̍t-chiap sǹg kàu chhù, gō͘ kang tō thang kín-mé sàng kàu ūi, hō͘ lông-gia̍p kok-chè bō͘-e̍k, kàu-kah sin ê khám-chām.","Tai5-oan5 loh8 toann, tit8-chiap sng3 kau3 chhu3, goo7 kang to7 thang kin2-me2 sang3 kau3 ui7, hoo7 long5-giap8 kok-che3 boo7-ek8, kau3-kah sin e5 kham2-cham7.","Tâi-uân lo̍h tuann, ti̍t-tsiap sǹg kàu tshù, gōo kang tō thang kín-mé sàng kàu uī, hōo lông-gia̍p kok-tsè bōo-i̍k, kàu-kah sin ê khám-tsām.","Tai5-uan5 loh8 tuann, tit8-tsiap sng3 kau3 tshu3, goo7 kang to7 thang kin2-me2 sang3 kau3 ui7, hoo7 long5-giap8 kok-tse3 boo7-ik8, kau3-kah sin e5 kham2-tsam7.","台灣落單，直接送到厝，五工就thang緊猛送到位，予農業國際貿易到甲新ê坎站","台灣落單，直接送到厝，五工就thang緊猛送到位，予農業國際貿易到甲新ê坎站","台灣下單，直接宅配，五天後就能迅速送達，讓農業國際貿易跨上新的里程碑","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2278","M̄-nā Ài-bûn hō͘ hái-gōa lâng-kheh o-ló kah ē tak-chi̍h, te̍k-pia̍t phín-chéng“Hā-soat”, mā tiām-tiām chia̍h saⁿ óaⁿ-kong chhèng--khí-lâi","M7-na7 Ai3-bun5 hoo7 hai2-goa7 lang5-kheh o-lo2 kah e7 tak-chih8, tek8-piat8 phin2-chéng“Ha7-soat”, ma7 tiam7-tiam7 chiah8 sann oann2-kong chheng3--khi2-lai5","M̄-nā Ài-bûn hōo hái-guā lâng-kheh o-ló kah ē tak-tsi̍h, ti̍k-pia̍t phín-tséng“Hā-suat”, mā tiām-tiām tsia̍h sann uánn-kong tshìng--khí-lâi","M7-na7 Ai3-bun5 hoo7 hai2-gua7 lang5-kheh o-lo2 kah e7 tak-tsih8, tik8-piat8 phin2-tséng“Ha7-suat”, ma7 tiam7-tiam7 tsiah8 sann uann2-kong tshing3--khi2-lai5","毋但愛文予海外人客呵咾甲會觸舌，特別品種夏雪嘛恬恬食三碗公chhèng起來","毋但愛文予海外人客呵咾甲會觸舌，特別品種夏雪嘛恬恬食三碗公tshìng起來","不止愛文芒果深獲海外果粉喜愛，特殊品種「夏雪」異軍突起","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2279","Ū thó͘-soāiⁿ-á ê phang, Kim-hông ê tiⁿ, Ài-bûn ê iù, hông hō-chò sī soāiⁿ-á kài ê LV","U7 thoo2-soainn7-a2 e5 phang, Kim-hong5 e5 tinn, Ai3-bun5 e5 iu3, hong5 ho7-cho3 si7 soainn7-a2 kai3 e5 LV","Ū thóo-suāinn-á ê phang, Kim-hông ê tinn, Ài-bûn ê iù, hông hō-tsò sī suāinn-á kài ê LV","U7 thoo2-suainn7-a2 e5 phang, Kim-hong5 e5 tinn, Ai3-bun5 e5 iu3, hong5 ho7-tso3 si7 suainn7-a2 kai3 e5 LV","有土檨仔ê芳、金煌ê甜、愛文ê幼，hông號做檨仔界ê LV","有土檨仔ê芳、金煌ê甜、愛文ê幼，hông號做檨仔界ê LV","擁有土芒果的香氣、金煌芒果的甜度、愛文的細緻口感，號稱是芒果界的LV","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2280","Bī-lâi beh kā koh khah chē koe-chí/ké-chí, iōng sàng-kàu-chhù ê hong-sek, siau khì ta̍k-ê tōa chhī-tiûⁿ, hō͘ in tī kok-chè chhut-thâu","Bi7-lai5 beh ka7 koh khah che7 koe-chi2/ke2-chi2, iong7 sang3-kau3-chhu3 e5 hong-sek, siau khi3 tak8-e5 toa7 chhi7-tiunn5, hoo7 in ti7 kok-che3 chhut-thau5","Bī-lâi beh kā koh khah tsē kue-tsí/ké-tsí, iōng sàng-kàu-tshù ê hong-sik, siau khì ta̍k-ê tuā tshī-tiûnn, hōo in tī kok-tsè tshut-thâu","Bi7-lai5 beh ka7 koh khah tse7 kue-tsi2/ke2-tsi2, iong7 sang3-kau3-tshu3 e5 hong-sik, siau khi3 tak8-e5 tua7 tshi7-tiunn5, hoo7 in ti7 kok-tse3 tshut-thau5","未來欲kā閣較濟果子，用送到厝ê方式，銷去逐个大市場，予in佇國際出頭","未來欲kā閣較濟果子，用送到厝ê方式，銷去逐个大市場，予in佇國際出頭","未來要將更多水果，以宅配模式，銷往各大市場，讓國際能見度大增","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2281","thâi","thai5","thâi","thai5","刣","刣","一種處理水果的方式(西瓜，芒果，鳳梨)/殺","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2282","kóe-chí","koe2-chi2","kué-tsí","kue2-tsi2","果子","果子","水果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2283","ké-chí","ke2-chi2","ké-tsí","ke2-tsi2","果子","果子","水果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2284","tiⁿ-liāu","tinn-liau7","tinn-liāu","tinn-liau7","甜料","甜料","甜品/甜點","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2285","thó͘-soāiⁿ-á","thoo2-soainn7-a2","thóo-suāinn-á","thoo2-suainn7-a2","土檨仔","土檨仔","土芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2286","phōng-kó-soāiⁿ","phong7-ko2-soainn7","phōng-kó-suāinn","phong7-ko2-suainn7","蘋果檨","蘋果檨","愛文芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2287","káu-goe̍h-soāiⁿ","kau2-goeh8-soainn7","káu-gue̍h-suāinn","kau2-gueh8-suainn7","九月檨","九月檨","凱特芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2288","káu-ge̍h-soāiⁿ","kau2-geh8-soainn7","káu-ge̍h-suāinn","kau2-geh8-suainn7","九月檨","九月檨","凱特芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2289","keng-chio-soāiⁿ","keng-chio-soainn7","king-tsio-suāinn","king-tsio-suainn7","弓蕉檨","弓蕉檨","香蕉芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2290","kin-chio-soāiⁿ","kin-chio-soainn7","kin-tsio-suāinn","kin-tsio-suainn7","弓蕉檨","弓蕉檨","香蕉芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2291","kim-chio-soāiⁿ","kim-chio-soainn7","kim-tsio-suāinn","kim-tsio-suainn7","弓蕉檨","弓蕉檨","香蕉芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2292","gû-lān-pha-soāiⁿ","gu5-lan7-pha-soainn7","gû-lān-pha-suāinn","gu5-lan7-pha-suainn7","牛lān-pha檨","牛lān-pha檨","金煌芒果","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2293","phîn-á","phin5-a2","phîn-á","phin5-a2","苹仔","苹仔","果蠅","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2294","chhàng-pō͘","chhang3-poo7","tshàng-pōo","tshang3-poo7","藏步","藏步","留一手","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2295","Lí tang-sî piàn kah chiah chheⁿ-bīn/chhiⁿ-bīn","Li2 tang-si5 pian3 kah chiah chhenn-bin7/chhinn-bin7","Lí tang-sî piàn kah tsiah tshenn-bīn/tshinn-bīn","Li2 tang-si5 pian3 kah tsiah tshenn-bin7/tshinn-bin7","你tang時變甲遮生面","你tang時變甲遮生面","","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2296","chhiⁿ-bīn-hó͘","chhinn-bin7-hoo2","tshinn-bīn-hóo","tshinn-bin7-hoo2","生面虎        ","生面虎        ","","","","【民視台灣學堂】台語講世事","2019.07.11","https://youtu.be/uaCDEysgBtk"
"2297","chèng-tī tōa-thiāu","cheng3-ti7 toa7-thiau7","tsìng-tī tuā-thiāu","tsing3-ti7 tua7-thiau7","政治大柱","政治大柱","政要","","相關詞：tōa-thiāu(大柱)","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2298","chū-chi̍p chò-hóe","chu7-chip8 cho3-hoe2","tsū-tsi̍p tsò-hué","tsu7-tsip8 tso3-hue2","聚集做伙","聚集做伙","齊聚一堂","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2299","chiú-sia̍h","chiu2-siah8","tsiú-sia̍h","tsiu2-siah8","酒席","酒席","酒會","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2300","lâu-pái","lau5-pai2","lâu-pái","lau5-pai2","流擺","流擺","機會/時機","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2301","iú-chì","iu2-chi3","iú-tsì","iu2-tsi3","有志","有志","夥伴","","相關詞：tâng-phōaⁿ(同伴)","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2302","ka-kī khiā-chāi","ka-ki7 khia7-chai7","ka-kī khiā-tsāi","ka-ki7 khia7-tsai7","家己徛在","家己徛在","自立自強","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2303","chhōa thâu ê tōa-pān","chhoa7 thau5 e5 toa7-pan7","tshuā thâu ê tuā-pān","tshua7 thau5 e5 tua7-pan7","chhōa頭的大範","tshuā頭的大範","領袖風範","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2304","liông-siān le̍k-liōng","liong5-sian7 lek8-liong7","liông-siān li̍k-liōng","liong5-sian7 lik8-liong7","良善力量","良善力量","良善力量","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2305","pó-chèng","po2-cheng3","pó-tsìng","po2-tsing3","保證","保證","承諾","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2306","to͘ -ha̍p chin bín-kám","too -hap8 chin bin2-kam2","too -ha̍p tsin bín-kám","too -hap8 tsin bin2-kam2","都合真敏感","都合真敏感","時機敏感","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2307","tú-chhiāng","tu2-chhiang7","tú-tshiāng","tu2-tshiang7","拄chhiāng","拄tshiāng","剛好","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2308","khàm-hē","kham3-he7","khàm-hē","kham3-he7","崁下","崁下","隱瞞","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2309","khì chhiong-thiⁿ","khi3 chhiong-thinn","khì tshiong-thinn","khi3 tshiong-thinn","氣沖天","氣沖天","火冒三丈","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2310","bô-chám-bô-che̍h","bo5-cham2-bo5-cheh8","bô-tsám-bô-tse̍h","bo5-tsam2-bo5-tseh8","無斬無截","無斬無截","無法決斷","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2311","Chi̍t siaⁿ m̄-chai, pah siaⁿ bô tāi","Chit8 siann m7-chai, pah siann bo5 tai7","Tsi̍t siann m̄-tsai, pah siann bô tāi","Tsit8 siann m7-tsai, pah siann bo5 tai7","一聲毋知，百聲無代","一聲毋知，百聲無代","","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
"2312","Bí-Tâi chèng-tī tōa-thiāu chū-chi̍p chò-hóe, thâu-pái chhōa-thoân hóng-būn ê chêng koaⁿ-oân thàn chia̍h chiú-sia̍h ê lâu-pái, khéng-tēng lán Tâi-oân kè-ta̍t.","Bi2-Tai5 cheng3-ti7 toa7-thiau7 chu7-chip8 cho3-hoe2, thau5-pai2 chhoa7-thoan5 hong2-bun7 e5 cheng5 koann-oan5 than3 chiah8 chiu2-siah8 e5 lau5-pai2, kheng2-teng7 lan2 Tai5-oan5 ke3-tat8.","Bí-Tâi tsìng-tī tuā-thiāu tsū-tsi̍p tsò-hué, thâu-pái tshuā-thuân hóng-būn ê tsîng kuann-uân thàn tsia̍h tsiú-sia̍h ê lâu-pái, khíng-tīng lán Tâi-uân kè-ta̍t.","Bi2-Tai5 tsing3-ti7 tua7-thiau7 tsu7-tsip8 tso3-hue2, thau5-pai2 tshua7-thuan5 hong2-bun7 e5 tsing5 kuann-uan5 than3 tsiah8 tsiu2-siah8 e5 lau5-pai2, khing2-ting7 lan2 Tai5-uan5 ke3-tat8.","美台政治大柱聚集做伙，頭擺chhōa團訪問ê前官員趁食酒席ê流擺，肯定咱台灣價值","美台政治大柱聚集做伙，頭擺tshuā團訪問ê前官員趁食酒席ê流擺，肯定咱台灣價值","美台政要濟聚一堂，首次率團來訪的前官員趁著酒會肯定台灣價值","","","【民視台灣學堂】台語講世事","2019.07.18","https://youtu.be/uaCDEysgBtk"
